,event_id,investigation_type,event_date,aircraft_damage,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,event_month,event_day,total_injured
54065,20030205X00167,Accident,2003-01-18,Destroyed,Airplane,piper,pa-28-181,1,Reciprocating,1,1,1,1,vmc,Maneuvering,2003,1,5,3
54904,20030626X00959,Accident,2003-06-21,Destroyed,Airplane,cessna,182h,1,Reciprocating,1,2,2,1,vmc,Maneuvering,2003,6,5,5
58138,20050208X00153,Accident,2005-02-02,Substantial,Airplane,bombardier,cl-600-1a11,1,Turbo Fan,0,4,9,0,vmc,Takeoff,2005,2,2,13
58607,20050523X00653,Incident,2005-05-12,Unknown,Airplane,boeing,717-200,1,Turbo Fan,0,0,0,80,imc,Climb,2005,5,3,0
58754,20050929X01547,Accident,2005-05-31,Minor,Airplane,"bombardier, inc.",cl-600-2b19,1,Turbo Fan,0,1,0,26,vmc,Standing,2005,5,1,1
59044,20050722X01080,Accident,2005-07-06,Destroyed,Helicopter,"erickson air-crane, inc.",s-64f,1,Turbo Shaft,1,1,1,1,vmc,Unknown,2005,7,2,3
59314,20050825X01308,Accident,2005-08-10,Destroyed,Helicopter,sikorsky,s-76c+,0,Unknown,14,0,0,0,unk,Unknown,2005,8,2,14
59362,20050921X01501,Accident,2005-08-19,Substantial,Airplane,boeing,747-200,1,Turbo Fan,0,0,2,338,vmc,Landing,2005,8,4,2
59584,20050927X01540,Incident,2005-09-21,Minor,Airplane,airbus industrie,a320,1,Turbo Jet,0,0,0,146,vmc,Takeoff,2005,9,2,0
59932,20051213X01964,Accident,2005-12-08,Substantial,Airplane,boeing,737-700,1,Turbo Fan,1,1,21,85,imc,Landing,2005,12,3,23
61280,20060828X01241,Accident,2006-08-19,Substantial,Helicopter,mcdonnell douglas helicopters,369e,1,Turbo Shaft,0,0,0,2,vmc,Cruise,2006,8,5,0
61649,20061115X01677,Accident,2006-11-04,Destroyed,Airplane,aircraft mfg & dev. co. (amd),ch601xl slsa,1,Reciprocating,2,0,0,0,vmc,Cruise,2006,11,5,2
61787,20061220X01818,Accident,2006-12-07,Destroyed,Airplane,mooney,m20r,1,Reciprocating,1,0,0,0,imc,Cruise,2006,12,3,1
61947,20070131X00121,Accident,2007-01-15,Substantial,Airplane,partenavia,p 68c,1,Reciprocating,2,0,0,0,imc,Descent,2007,1,0,2
61981,20081003X62954,Accident,2007-01-25,Minor,Airplane,raytheon,b-1900,0,Unknown,0,0,0,15,unk,Unknown,2007,1,3,0
62114,20070510X00546,Accident,2007-02-28,Destroyed,Airplane,ingraham,rv-6,1,Reciprocating,1,0,0,0,vmc,Unknown,2007,2,2,1
