investigation_type,event_date,aircraft_damage,make,model,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,event_month,event_day,make_top,make_type,total_onboard,fatal_percentage,minor_injuries_percentage
Accident,2003-01-18,Destroyed,piper,pa-28-181,1,Reciprocating,1,1,1,1,vmc,Maneuvering,2003,1,5,piper,private,4,25.0,25.0
Accident,2003-06-21,Destroyed,cessna,182h,1,Reciprocating,1,2,2,1,vmc,Maneuvering,2003,6,5,cessna,private,6,16.666666666666664,33.33333333333333
Accident,2005-02-02,Substantial,bombardier,cl-600-1a11,2,Turbo Fan,0,4,9,0,vmc,Takeoff,2005,2,2,bombardier,commercial,13,0.0,69.23076923076923
Incident,2005-05-12,Unknown,boeing,717-200,2,Turbo Fan,0,0,0,80,imc,Climb,2005,5,3,boeing,commercial,80,0.0,0.0
Accident,2005-05-31,Minor,"bombardier, inc.",cl-600-2b19,2,Turbo Fan,0,1,0,26,vmc,Standing,2005,5,1,bombardier,commercial,27,0.0,0.0
Accident,2005-08-19,Substantial,boeing,747-200,4,Turbo Fan,0,0,2,338,vmc,Landing,2005,8,4,boeing,commercial,340,0.0,0.5882352941176471
Incident,2005-09-21,Minor,airbus industrie,a320,2,Turbo Jet,0,0,0,146,vmc,Takeoff,2005,9,2,airbus,commercial,146,0.0,0.0
Accident,2005-12-08,Substantial,boeing,737-700,2,Turbo Fan,1,1,21,85,imc,Landing,2005,12,3,boeing,commercial,108,0.9259259259259258,19.444444444444446
Accident,2007-03-07,Destroyed,piper,pa-28-235,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,3,2,piper,private,3,100.0,0.0
Accident,2007-04-19,Substantial,cessna,u206g,1,Reciprocating,2,0,0,0,imc,Takeoff,2007,4,3,cessna,private,2,100.0,0.0
Accident,2007-04-20,Substantial,cessna,182q,1,Reciprocating,3,0,0,0,vmc,Cruise,2007,4,4,cessna,private,3,100.0,0.0
Accident,2007-04-26,Substantial,piper aircraft,pa-38-112,1,Reciprocating,1,0,0,0,vmc,Cruise,2007,4,3,piper,private,1,100.0,0.0
Accident,2007-05-03,Destroyed,cessna,s550,2,Turbo Jet,2,0,0,0,vmc,Approach,2007,5,3,cessna,private,2,100.0,0.0
Accident,2007-05-23,Substantial,cessna,172e,1,Reciprocating,0,0,1,0,vmc,Cruise,2007,5,2,cessna,private,1,0.0,100.0
Accident,2007-06-10,Substantial,dassault-breguet,mystere falcon 900,3,Turbo Fan,0,0,0,15,vmc,Takeoff,2007,6,6,dassault,private,15,0.0,0.0
Incident,2007-06-13,Unknown,"bombardier, inc.",cl-600-2b19,2,Turbo Fan,0,0,0,53,vmc,Standing,2007,6,2,bombardier,commercial,53,0.0,0.0
Incident,2007-07-11,Minor,piper,pa-31-350,2,Reciprocating,0,0,0,1,vmc,Cruise,2007,7,2,piper,private,1,0.0,0.0
Accident,2007-07-15,Substantial,piper,pa-28-140,1,Reciprocating,0,1,0,0,vmc,Approach,2007,7,6,piper,private,1,0.0,0.0
Incident,2007-08-15,Minor,piper,pa-32r-301t,1,Reciprocating,0,0,0,1,vmc,Descent,2007,8,2,piper,private,1,0.0,0.0
Accident,2007-08-22,Substantial,beech,c24r,1,Reciprocating,0,2,2,0,vmc,Takeoff,2007,8,2,beechcraft,private,4,0.0,50.0
Accident,2007-08-25,Destroyed,piper,pa-32-260,1,Reciprocating,1,0,0,0,imc,Unknown,2007,8,5,piper,private,1,100.0,0.0
Accident,2007-08-26,Substantial,cessna,p206,1,Reciprocating,1,0,0,0,vmc,Maneuvering,2007,8,6,cessna,private,1,100.0,0.0
Accident,2007-08-30,Substantial,piper,pa-28-181,1,Reciprocating,0,0,0,1,vmc,Landing,2007,8,3,piper,private,1,0.0,0.0
Accident,2007-09-01,Destroyed,beech,a36,1,Reciprocating,5,0,0,0,vmc,Climb,2007,9,5,beechcraft,private,5,100.0,0.0
